  #K-Path    Energy        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    2.724  -56.5466     0.992     0.000
    2.695  -56.5489     0.996     0.000
    2.665  -56.5510     0.996     0.000
    2.636  -56.5530     0.992     0.000
    2.607  -56.5549     0.992     0.000
    2.577  -56.5567     0.992     0.000
    2.548  -56.5584     0.996     0.000
    2.519  -56.5599     0.996     0.000
    2.490  -56.5613     0.996     0.000
    2.460  -56.5625     0.996     0.000
    2.431  -56.5635     0.992     0.000
    2.402  -56.5644     0.992     0.000
    2.373  -56.5651     0.996     0.000
    2.343  -56.5656     0.996     0.000
    2.314  -56.5659     0.992     0.000
    2.285  -56.5660     0.992     0.000
    2.285  -56.5660     0.996     0.000
    2.265  -56.5659     0.992     0.000
    2.244  -56.5659     0.992     0.000
    2.224  -56.5659     0.992     0.000
    2.203  -56.5659     0.992     0.000
    2.183  -56.5658     0.992     0.000
    2.163  -56.5658     0.992     0.000
    2.142  -56.5658     0.992     0.000
    2.122  -56.5658     0.992     0.000
    2.102  -56.5657     0.992     0.000
    2.081  -56.5657     0.992     0.000
    2.061  -56.5657     0.992     0.000
    2.041  -56.5657     0.992     0.000
    2.020  -56.5657     0.992     0.000
    2.000  -56.5657     0.992     0.000
    1.980  -56.5657     0.992     0.000
    1.959  -56.5656     0.992     0.000
    1.939  -56.5656     0.992     0.000
    1.919  -56.5656     0.992     0.000
    1.898  -56.5656     0.992     0.000
    1.898  -56.5656     0.992     0.000
    1.857  -56.5654     0.992     0.000
    1.815  -56.5649     0.992     0.000
    1.774  -56.5639     0.992     0.000
    1.733  -56.5626     0.992     0.000
    1.691  -56.5608     0.992     0.000
    1.650  -56.5588     0.992     0.000
    1.609  -56.5564     0.992     0.000
    1.567  -56.5536     0.992     0.000
    1.526  -56.5506     0.992     0.000
    1.484  -56.5473     0.992     0.000
    1.443  -56.5437     0.992     0.000
    1.402  -56.5399     0.992     0.000
    1.360  -56.5359     0.992     0.000
    1.319  -56.5317     0.992     0.000
    1.277  -56.5273     0.992     0.000
    1.236  -56.5228     0.992     0.000
    1.195  -56.5183     0.992     0.000
    1.153  -56.5136     0.992     0.000
    1.112  -56.5095     0.994     0.000
    1.112  -56.5095     0.994     0.000
    1.083  -56.5118     0.996     0.000
    1.053  -56.5141     0.996     0.000
    1.024  -56.5164     0.992     0.000
    0.995  -56.5186     0.996     0.000
    0.966  -56.5208     0.996     0.000
    0.936  -56.5229     0.996     0.000
    0.907  -56.5249     0.992     0.000
    0.878  -56.5268     0.996     0.000
    0.849  -56.5286     0.992     0.000
    0.819  -56.5302     0.996     0.000
    0.790  -56.5317     0.996     0.000
    0.761  -56.5330     0.996     0.000
    0.732  -56.5342     0.996     0.000
    0.702  -56.5352     0.992     0.000
    0.673  -56.5361     0.992     0.000
    0.644  -56.5367     0.992     0.000
    0.614  -56.5372     0.992     0.000
    0.585  -56.5375     0.992     0.000
    0.556  -56.5376     0.992     0.000
    0.556  -56.5376     0.992     0.000
    0.527  -56.5394     0.992     0.000
    0.497  -56.5418     0.992     0.000
    0.468  -56.5441     0.992     0.000
    0.439  -56.5464     0.992     0.000
    0.410  -56.5486     0.992     0.000
    0.380  -56.5507     0.992     0.000
    0.351  -56.5527     0.992     0.000
    0.322  -56.5546     0.992     0.000
    0.293  -56.5564     0.992     0.000
    0.263  -56.5581     0.992     0.000
    0.234  -56.5596     0.992     0.000
    0.205  -56.5610     0.992     0.000
    0.176  -56.5622     0.992     0.000
    0.146  -56.5632     0.992     0.000
    0.117  -56.5641     0.992     0.000
    0.088  -56.5648     0.992     0.000
    0.059  -56.5652     0.992     0.000
    0.029  -56.5655     0.992     0.000
    0.000  -56.5656     0.992     0.000
 
# Band-Index:    3
    0.000  -56.5087     0.996     0.000
    0.029  -56.5088     0.992     0.000
    0.059  -56.5091     0.992     0.000
    0.088  -56.5096     0.992     0.000
    0.117  -56.5103     0.992     0.000
    0.146  -56.5112     0.992     0.000
    0.176  -56.5122     0.992     0.000
    0.205  -56.5135     0.992     0.000
    0.234  -56.5149     0.992     0.000
    0.263  -56.5164     0.992     0.000
    0.293  -56.5181     0.992     0.000
    0.322  -56.5199     0.992     0.000
    0.351  -56.5219     0.992     0.000
    0.380  -56.5239     0.992     0.000
    0.410  -56.5260     0.992     0.000
    0.439  -56.5283     0.992     0.000
    0.468  -56.5305     0.992     0.000
    0.497  -56.5329     0.992     0.000
    0.527  -56.5352     0.992     0.000
    0.556  -56.5371     0.992     0.000
    0.556  -56.5371     0.992     0.000
    0.585  -56.5370     0.992     0.000
    0.614  -56.5367     0.992     0.000
    0.644  -56.5362     0.996     0.000
    0.673  -56.5355     0.996     0.000
    0.702  -56.5347     0.996     0.000
    0.732  -56.5337     0.996     0.000
    0.761  -56.5325     0.996     0.000
    0.790  -56.5312     0.996     0.000
    0.819  -56.5297     0.996     0.000
    0.849  -56.5280     0.996     0.000
    0.878  -56.5263     0.992     0.000
    0.907  -56.5244     0.996     0.000
    0.936  -56.5224     0.996     0.000
    0.966  -56.5203     0.996     0.000
    0.995  -56.5181     0.996     0.000
    1.024  -56.5159     0.992     0.000
    1.053  -56.5136     0.996     0.000
    1.083  -56.5113     0.996     0.000
    1.112  -56.5095     0.994     0.000
    1.112  -56.5095     0.994     0.000
    1.153  -56.5095     0.996     0.000
    1.195  -56.5095     0.992     0.000
    1.236  -56.5094     0.996     0.000
    1.277  -56.5094     0.996     0.000
    1.319  -56.5094     0.992     0.000
    1.360  -56.5093     0.992     0.000
    1.402  -56.5093     0.992     0.000
    1.443  -56.5092     0.996     0.000
    1.484  -56.5092     0.996     0.000
    1.526  -56.5091     0.996     0.000
    1.567  -56.5090     0.992     0.000
    1.609  -56.5090     0.996     0.000
    1.650  -56.5089     0.992     0.000
    1.691  -56.5089     0.996     0.000
    1.733  -56.5088     0.996     0.000
    1.774  -56.5088     0.996     0.000
    1.815  -56.5088     0.996     0.000
    1.857  -56.5088     0.992     0.000
    1.898  -56.5087     0.996     0.000
