#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180 128
# Band-Index:    1
   1.89819    -56.566248  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.91854    -56.566247  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.93889    -56.566246  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.95924    -56.566241  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.97960    -56.566234  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.99995    -56.566225  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.02030    -56.566214  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.04065    -56.566201  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.06100    -56.566189  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.08135    -56.566173  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.10170    -56.566155  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.12205    -56.566135  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.14241    -56.566114  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.16276    -56.566097  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.18311    -56.566079  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.20346    -56.566055  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.22381    -56.566029  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.24416    -56.566004  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.26451    -56.565979  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.28487    -56.565953  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.28487    -56.565953  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.31413    -56.565855  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.34339    -56.565561  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.37265    -56.565078  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.40191    -56.564407  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.43117    -56.563549  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.46043    -56.562513  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.48970    -56.561303  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.51896    -56.559931  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.54822    -56.558406  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.57748    -56.556735  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.60674    -56.554930  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.63600    -56.553008  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.66526    -56.550977  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.69453    -56.548852  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.72379    -56.546646  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.75305    -56.544376  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.78231    -56.542059  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.81157    -56.539707  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.84083    -56.537337  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.84083    -56.537337  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.87009    -56.537240  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
