  #K-Path    Energy        Ti        Ga        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    4.063  -56.5918     0.992     0.000     0.000
    4.105  -56.5927     0.992     0.000     0.000
    4.146  -56.5933     0.992     0.000     0.000
    4.187  -56.5935     0.992     0.000     0.000
    4.187  -56.5651     0.992     0.000     0.000
    4.208  -56.5651     0.992     0.000     0.000
    4.228  -56.5651     0.992     0.000     0.000
    4.249  -56.5651     0.992     0.000     0.000
    4.269  -56.5651     0.992     0.000     0.000
    4.289  -56.5651     0.992     0.000     0.000
    4.310  -56.5651     0.992     0.000     0.000
    4.330  -56.5651     0.992     0.000     0.000
    4.350  -56.5651     0.992     0.000     0.000
    4.371  -56.5651     0.992     0.000     0.000
    4.391  -56.5651     0.992     0.000     0.000
    4.412  -56.5650     0.992     0.000     0.000
    4.432  -56.5650     0.992     0.000     0.000
    4.452  -56.5650     0.992     0.000     0.000
    4.473  -56.5650     0.992     0.000     0.000
    4.493  -56.5650     0.992     0.000     0.000
    4.514  -56.5649     0.992     0.000     0.000
    4.534  -56.5649     0.992     0.000     0.000
    4.554  -56.5649     0.992     0.000     0.000
    4.575  -56.5649     0.992     0.000     0.000
    4.575  -56.5370     0.992     0.000     0.000
    4.595  -56.5370     0.992     0.000     0.000
    4.616  -56.5370     0.992     0.000     0.000
    4.636  -56.5370     0.992     0.000     0.000
    4.656  -56.5370     0.992     0.000     0.000
    4.677  -56.5370     0.992     0.000     0.000
    4.697  -56.5370     0.992     0.000     0.000
    4.717  -56.5370     0.992     0.000     0.000
    4.738  -56.5369     0.992     0.000     0.000
    4.758  -56.5369     0.992     0.000     0.000
    4.779  -56.5369     0.992     0.000     0.000
    4.799  -56.5369     0.992     0.000     0.000
    4.819  -56.5369     0.992     0.000     0.000
    4.840  -56.5369     0.992     0.000     0.000
    4.860  -56.5368     0.992     0.000     0.000
    4.881  -56.5368     0.992     0.000     0.000
    4.901  -56.5368     0.992     0.000     0.000
    4.921  -56.5368     0.992     0.000     0.000
    4.942  -56.5368     0.992     0.000     0.000
    4.962  -56.5368     0.992     0.000     0.000
 
# Band-Index:    2
    4.962  -56.5367     0.992     0.000     0.000
    4.942  -56.5367     0.992     0.000     0.000
    4.921  -56.5367     0.992     0.000     0.000
    4.901  -56.5367     0.992     0.000     0.000
    4.881  -56.5367     0.992     0.000     0.000
    4.860  -56.5366     0.992     0.000     0.000
    4.840  -56.5366     0.992     0.000     0.000
    4.819  -56.5366     0.992     0.000     0.000
    4.799  -56.5366     0.992     0.000     0.000
    4.779  -56.5366     0.992     0.000     0.000
    4.758  -56.5366     0.992     0.000     0.000
    4.738  -56.5365     0.992     0.000     0.000
    4.717  -56.5365     0.992     0.000     0.000
    4.697  -56.5365     0.992     0.000     0.000
    4.677  -56.5365     0.992     0.000     0.000
    4.656  -56.5365     0.992     0.000     0.000
    4.636  -56.5365     0.992     0.000     0.000
    4.616  -56.5365     0.992     0.000     0.000
    4.595  -56.5365     0.992     0.000     0.000
    4.575  -56.5365     0.992     0.000     0.000
    4.575  -56.5648     0.992     0.000     0.000
    4.554  -56.5648     0.992     0.000     0.000
    4.534  -56.5648     0.992     0.000     0.000
    4.514  -56.5648     0.992     0.000     0.000
    4.493  -56.5648     0.992     0.000     0.000
    4.473  -56.5648     0.992     0.000     0.000
    4.452  -56.5647     0.992     0.000     0.000
    4.432  -56.5647     0.992     0.000     0.000
    4.412  -56.5647     0.992     0.000     0.000
    4.391  -56.5647     0.992     0.000     0.000
    4.371  -56.5647     0.992     0.000     0.000
    4.350  -56.5646     0.992     0.000     0.000
    4.330  -56.5646     0.992     0.000     0.000
    4.310  -56.5646     0.992     0.000     0.000
    4.289  -56.5646     0.992     0.000     0.000
    4.269  -56.5646     0.992     0.000     0.000
    4.249  -56.5646     0.992     0.000     0.000
    4.228  -56.5646     0.992     0.000     0.000
    4.208  -56.5646     0.992     0.000     0.000
    4.187  -56.5646     0.992     0.000     0.000
    4.187  -56.5935     0.992     0.000     0.000
    4.146  -56.5933     0.992     0.000     0.000
    4.105  -56.5927     0.992     0.000     0.000
    4.063  -56.5917     0.992     0.000     0.000
    4.022  -56.5904     0.992     0.000     0.000
    3.980  -56.5886     0.992     0.000     0.000
    3.939  -56.5865     0.992     0.000     0.000
    3.897  -56.5841     0.992     0.000     0.000
    3.856  -56.5813     0.992     0.000     0.000
    3.815  -56.5783     0.992     0.000     0.000
    3.773  -56.5749     0.992     0.000     0.000
    3.732  -56.5713     0.992     0.000     0.000
    3.690  -56.5674     0.992     0.000     0.000
    3.649  -56.5634     0.992     0.000     0.000
    3.607  -56.5591     0.992     0.000     0.000
    3.566  -56.5547     0.992     0.000     0.000
    3.525  -56.5502     0.992     0.000     0.000
    3.483  -56.5456     0.992     0.000     0.000
    3.442  -56.5409     0.992     0.000     0.000
    3.400  -56.5367     0.992     0.000     0.000
    3.400  -56.5367     0.992     0.000     0.000
    3.371  -56.5388     0.992     0.000     0.000
    3.342  -56.5411     0.992     0.000     0.000
    3.313  -56.5434     0.992     0.000     0.000
    3.283  -56.5457     0.992     0.000     0.000
    3.254  -56.5479     0.992     0.000     0.000
    3.225  -56.5500     0.992     0.000     0.000
    3.195  -56.5520     0.992     0.000     0.000
    3.166  -56.5539     0.992     0.000     0.000
    3.137  -56.5557     0.992     0.000     0.000
