     #Energy           s           p           d       tot  
   -52.32818    15.91400     0.00015     0.00017    15.91432
   -52.25118    15.91400     0.00015     0.00017    15.91432
   -52.17418    15.91400     0.00015     0.00017    15.91432
   -52.09618    15.91400     0.00015     0.00017    15.91432
   -52.01918    15.91400     0.00015     0.00017    15.91432
   -51.94118    15.91400     0.00015     0.00017    15.91432
   -51.86418    15.91400     0.00015     0.00017    15.91432
   -51.78718    15.91400     0.00015     0.00017    15.91432
   -51.70918    15.91400     0.00015     0.00017    15.91432
   -51.63218    15.91400     0.00015     0.00017    15.91432
   -51.55518    15.91400     0.00015     0.00017    15.91432
   -51.47718    15.91400     0.00015     0.00017    15.91432
   -51.40018    15.91400     0.00015     0.00017    15.91432
   -51.32318    15.91400     0.00015     0.00017    15.91432
   -51.24518    15.91400     0.00015     0.00017    15.91432
   -51.16818    15.91400     0.00015     0.00017    15.91432
   -51.09118    15.91400     0.00015     0.00017    15.91432
   -51.01318    15.91400     0.00015     0.00017    15.91432
   -50.93618    15.91400     0.00015     0.00017    15.91432
   -50.85918    15.91400     0.00015     0.00017    15.91432
   -50.78118    15.91400     0.00015     0.00017    15.91432
   -50.70418    15.91400     0.00015     0.00017    15.91432
   -50.62618    15.91400     0.00015     0.00017    15.91432
   -50.54918    15.91400     0.00015     0.00017    15.91432
   -50.47218    15.91400     0.00015     0.00017    15.91432
   -50.39418    15.91400     0.00015     0.00017    15.91432
   -50.31718    15.91400     0.00015     0.00017    15.91432
   -50.24018    15.91400     0.00015     0.00017    15.91432
   -50.16218    15.91400     0.00015     0.00017    15.91432
   -50.08518    15.91400     0.00015     0.00017    15.91432
   -50.00818    15.91400     0.00015     0.00017    15.91432
   -49.93018    15.91400     0.00015     0.00017    15.91432
   -49.85318    15.91400     0.00015     0.00017    15.91432
   -49.77618    15.91400     0.00015     0.00017    15.91432
   -49.69818    15.91400     0.00015     0.00017    15.91432
   -49.62118    15.91400     0.00015     0.00017    15.91432
   -49.54418    15.91400     0.00015     0.00017    15.91432
   -49.46618    15.91400     0.00015     0.00017    15.91432
   -49.38918    15.91400     0.00015     0.00017    15.91432
   -49.31118    15.91400     0.00015     0.00017    15.91432
   -49.23418    15.91400     0.00015     0.00017    15.91432
   -49.15718    15.91400     0.00015     0.00017    15.91432
   -49.07918    15.91400     0.00015     0.00017    15.91432
   -49.00218    15.91400     0.00015     0.00017    15.91432
   -48.92518    15.91400     0.00015     0.00017    15.91432
   -48.84718    15.91400     0.00015     0.00017    15.91432
   -48.77018    15.91400     0.00015     0.00017    15.91432
   -48.69318    15.91400     0.00015     0.00017    15.91432
   -48.61518    15.91400     0.00015     0.00017    15.91432
   -48.53818    15.91400     0.00015     0.00017    15.91432
   -48.46118    15.91400     0.00015     0.00017    15.91432
   -48.38318    15.91400     0.00015     0.00017    15.91432
   -48.30618    15.91400     0.00015     0.00017    15.91432
   -48.22918    15.91400     0.00015     0.00017    15.91432
   -48.15118    15.91400     0.00015     0.00017    15.91432
   -48.07418    15.91400     0.00015     0.00017    15.91432
   -47.99618    15.91400     0.00015     0.00017    15.91432
   -47.91918    15.91400     0.00015     0.00017    15.91432
   -47.84218    15.91400     0.00015     0.00017    15.91432
   -47.76418    15.91400     0.00015     0.00017    15.91432
   -47.68718    15.91400     0.00015     0.00017    15.91432
   -47.61018    15.91400     0.00015     0.00017    15.91432
   -47.53218    15.91400     0.00015     0.00017    15.91432
   -47.45518    15.91400     0.00015     0.00017    15.91432
   -47.37818    15.91400     0.00015     0.00017    15.91432
   -47.30018    15.91400     0.00015     0.00017    15.91432
   -47.22318    15.91400     0.00015     0.00017    15.91432
   -47.14618    15.91400     0.00015     0.00017    15.91432
   -47.06818    15.91400     0.00015     0.00017    15.91432
   -46.99118    15.91400     0.00015     0.00017    15.91432
   -46.91418    15.91400     0.00015     0.00017    15.91432
   -46.83618    15.91400     0.00015     0.00017    15.91432
   -46.75918    15.91400     0.00015     0.00017    15.91432
   -46.68118    15.91400     0.00015     0.00017    15.91432
   -46.60418    15.91400     0.00015     0.00017    15.91432
   -46.52718    15.91400     0.00015     0.00017    15.91432
   -46.44918    15.91400     0.00015     0.00017    15.91432
   -46.37218    15.91400     0.00015     0.00017    15.91432
   -46.29518    15.91400     0.00015     0.00017    15.91432
   -46.21718    15.91400     0.00015     0.00017    15.91432
   -46.14018    15.91400     0.00015     0.00017    15.91432
   -46.06318    15.91400     0.00015     0.00017    15.91432
   -45.98518    15.91400     0.00015     0.00017    15.91432
   -45.90818    15.91400     0.00015     0.00017    15.91432
   -45.83118    15.91400     0.00015     0.00017    15.91432
   -45.75318    15.91400     0.00015     0.00017    15.91432
   -45.67618    15.91400     0.00015     0.00017    15.91432
   -45.59918    15.91400     0.00015     0.00017    15.91432
   -45.52118    15.91400     0.00015     0.00017    15.91432
   -45.44418    15.91400     0.00015     0.00017    15.91432
   -45.36618    15.91400     0.00015     0.00017    15.91432
   -45.28918    15.91400     0.00015     0.00017    15.91432
   -45.21218    15.91400     0.00015     0.00017    15.91432
   -45.13418    15.91400     0.00015     0.00017    15.91432
   -45.05718    15.91400     0.00015     0.00017    15.91432
   -44.98018    15.91400     0.00015     0.00017    15.91432
   -44.90218    15.91400     0.00015     0.00017    15.91432
   -44.82518    15.91400     0.00015     0.00017    15.91432
   -44.74818    15.91400     0.00015     0.00017    15.91432
   -44.67018    15.91400     0.00015     0.00017    15.91432
   -44.59318    15.91400     0.00015     0.00017    15.91432
   -44.51618    15.91400     0.00015     0.00017    15.91432
   -44.43818    15.91400     0.00015     0.00017    15.91432
   -44.36118    15.91400     0.00015     0.00017    15.91432
   -44.28418    15.91400     0.00015     0.00017    15.91432
   -44.20618    15.91400     0.00015     0.00017    15.91432
   -44.12918    15.91400     0.00015     0.00017    15.91432
   -44.05118    15.91400     0.00015     0.00017    15.91432
   -43.97418    15.91400     0.00015     0.00017    15.91432
   -43.89718    15.91400     0.00015     0.00017    15.91432
   -43.81918    15.91400     0.00015     0.00017    15.91432
   -43.74218    15.91400     0.00015     0.00017    15.91432
   -43.66518    15.91400     0.00015     0.00017    15.91432
   -43.58718    15.91400     0.00015     0.00017    15.91432
   -43.51018    15.91400     0.00015     0.00017    15.91432
   -43.43318    15.91400     0.00015     0.00017    15.91432
   -43.35518    15.91400     0.00015     0.00017    15.91432
   -43.27818    15.91400     0.00015     0.00017    15.91432
   -43.20118    15.91400     0.00015     0.00017    15.91432
   -43.12318    15.91400     0.00015     0.00017    15.91432
   -43.04618    15.91400     0.00015     0.00017    15.91432
   -42.96918    15.91400     0.00015     0.00017    15.91432
   -42.89118    15.91400     0.00015     0.00017    15.91432
   -42.81418    15.91400     0.00015     0.00017    15.91432
   -42.73618    15.91400     0.00015     0.00017    15.91432
   -42.65918    15.91400     0.00015     0.00017    15.91432
   -42.58218    15.91400     0.00015     0.00017    15.91432
   -42.50418    15.91400     0.00015     0.00017    15.91432
   -42.42718    15.91400     0.00015     0.00017    15.91432
   -42.35018    15.91400     0.00015     0.00017    15.91432
   -42.27218    15.91400     0.00015     0.00017    15.91432
   -42.19518    15.91400     0.00015     0.00017    15.91432
   -42.11818    15.91400     0.00015     0.00017    15.91432
   -42.04018    15.91400     0.00015     0.00017    15.91432
   -41.96318    15.91400     0.00015     0.00017    15.91432
   -41.88618    15.91400     0.00015     0.00017    15.91432
   -41.80818    15.91400     0.00015     0.00017    15.91432
   -41.73118    15.91400     0.00015     0.00017    15.91432
   -41.65418    15.91400     0.00015     0.00017    15.91432
   -41.57618    15.91400     0.00015     0.00017    15.91432
   -41.49918    15.91400     0.00015     0.00017    15.91432
   -41.42118    15.91400     0.00015     0.00017    15.91432
   -41.34418    15.91400     0.00015     0.00017    15.91432
   -41.26718    15.91400     0.00015     0.00017    15.91432
   -41.18918    15.91400     0.00015     0.00017    15.91432
   -41.11218    15.91400     0.00015     0.00017    15.91432
   -41.03518    15.91400     0.00015     0.00017    15.91432
   -40.95718    15.91400     0.00015     0.00017    15.91432
   -40.88018    15.91400     0.00015     0.00017    15.91432
   -40.80318    15.91400     0.00015     0.00017    15.91432
   -40.72518    15.91400     0.00015     0.00017    15.91432
   -40.64818    15.91400     0.00015     0.00017    15.91432
   -40.57118    15.91400     0.00015     0.00017    15.91432
   -40.49318    15.91400     0.00015     0.00017    15.91432
   -40.41618    15.91400     0.00015     0.00017    15.91432
   -40.33918    15.91400     0.00015     0.00017    15.91432
   -40.26118    15.91400     0.00015     0.00017    15.91432
   -40.18418    15.91400     0.00015     0.00017    15.91432
   -40.10618    15.91400     0.00015     0.00017    15.91432
   -40.02918    15.91400     0.00015     0.00017    15.91432
   -39.95218    15.91400     0.00015     0.00017    15.91432
   -39.87418    15.91400     0.00015     0.00017    15.91432
   -39.79718    15.91400     0.00015     0.00017    15.91432
   -39.72018    15.91400     0.00015     0.00017    15.91432
   -39.64218    15.91400     0.00015     0.00017    15.91432
   -39.56518    15.91400     0.00015     0.00017    15.91432
   -39.48818    15.91400     0.00015     0.00017    15.91432
   -39.41018    15.91400     0.00015     0.00017    15.91432
   -39.33318    15.91400     0.00015     0.00017    15.91432
   -39.25618    15.91400     0.00015     0.00017    15.91432
   -39.17818    15.91400     0.00015     0.00017    15.91432
   -39.10118    15.91400     0.00015     0.00017    15.91432
   -39.02418    15.91400     0.00015     0.00017    15.91432
   -38.94618    15.91400     0.00015     0.00017    15.91432
   -38.86918    15.91400     0.00015     0.00017    15.91432
   -38.79118    15.91400     0.00015     0.00017    15.91432
   -38.71418    15.91400     0.00015     0.00017    15.91432
   -38.63718    15.91400     0.00015     0.00017    15.91432
   -38.55918    15.91400     0.00015     0.00017    15.91432
   -38.48218    15.91400     0.00015     0.00017    15.91432
   -38.40518    15.91400     0.00015     0.00017    15.91432
   -38.32718    15.91400     0.00015     0.00017    15.91432
   -38.25018    15.91400     0.00015     0.00017    15.91432
   -38.17318    15.91400     0.00015     0.00017    15.91432
   -38.09518    15.91400     0.00015     0.00017    15.91432
   -38.01818    15.91400     0.00015     0.00017    15.91432
   -37.94118    15.91400     0.00015     0.00017    15.91432
   -37.86318    15.91400     0.00015     0.00017    15.91432
   -37.78618    15.91400     0.00015     0.00017    15.91432
   -37.70918    15.91400     0.00015     0.00017    15.91432
   -37.63118    15.91400     0.00015     0.00017    15.91432
   -37.55418    15.91400     0.00015     0.00017    15.91432
   -37.47618    15.91400     0.00015     0.00017    15.91432
   -37.39918    15.91400     0.00015     0.00017    15.91432
   -37.32218    15.91400     0.00015     0.00017    15.91432
   -37.24418    15.91400     0.00015     0.00017    15.91432
   -37.16718    15.91400     0.00015     0.00017    15.91432
   -37.09018    15.91400     0.00015     0.00017    15.91432
   -37.01218    15.91400     0.00015     0.00017    15.91432
   -36.93518    15.91400     0.00015     0.00017    15.91432
   -36.85818    15.91400     0.00015     0.00017    15.91432
   -36.78018    15.91400     0.00015     0.00017    15.91432
   -36.70318    15.91400     0.00015     0.00017    15.91432
   -36.62618    15.91400     0.00015     0.00017    15.91432
   -36.54818    15.91400     0.00015     0.00017    15.91432
   -36.47118    15.91400     0.00015     0.00017    15.91432
   -36.39418    15.91400     0.00015     0.00017    15.91432
   -36.31618    15.91400     0.00015     0.00017    15.91432
   -36.23918    15.91400     0.00015     0.00017    15.91432
   -36.16118    15.91400     0.00015     0.00017    15.91432
   -36.08418    15.91400     0.00015     0.00017    15.91432
   -36.00718    15.91400     0.00015     0.00017    15.91432
   -35.92918    15.91400     0.00015     0.00017    15.91432
   -35.85218    15.91400     0.00015     0.00017    15.91432
   -35.77518    15.91400     0.00015     0.00017    15.91432
   -35.69718    15.91400     0.00015     0.00017    15.91432
   -35.62018    15.91400     0.00015     0.00017    15.91432
   -35.54318    15.91400     0.00015     0.00017    15.91432
   -35.46518    15.91400     0.00015     0.00017    15.91432
   -35.38818    15.91400     0.00015     0.00017    15.91432
   -35.31118    15.91400     0.00015     0.00017    15.91432
   -35.23318    15.91400     0.00015     0.00017    15.91432
   -35.15618    15.91400     0.00015     0.00017    15.91432
   -35.07918    15.91400     0.00015     0.00017    15.91432
   -35.00118    15.91400     0.00015     0.00017    15.91432
   -34.92418    15.91400     0.00015     0.00017    15.91432
   -34.84618    15.91400     0.00015     0.00017    15.91432
   -34.76918    15.91400     0.00015     0.00017    15.91432
   -34.69218    15.91400     0.00015     0.00017    15.91432
   -34.61418    15.91400     0.00015     0.00017    15.91432
   -34.53718    15.91400     0.00015     0.00017    15.91432
   -34.46018    15.91400     0.00015     0.00017    15.91432
   -34.38218    15.91400     0.00015     0.00017    15.91432
   -34.30518    15.91400     0.00015     0.00017    15.91432
   -34.22818    15.91400     0.00015     0.00017    15.91432
   -34.15018    15.91400     0.00015     0.00017    15.91432
   -34.07318    15.91400     0.00015     0.00017    15.91432
   -33.99618    15.91400     0.00015     0.00017    15.91432
   -33.91818    15.91400     0.00015     0.00017    15.91432
   -33.84118    15.91400     0.00015     0.00017    15.91432
   -33.76418    15.91400     0.00015     0.00017    15.91432
   -33.68618    15.91400     0.00015     0.00017    15.91432
   -33.60918    15.91400     0.00015     0.00017    15.91432
   -33.53118    15.91400     0.00015     0.00017    15.91432
   -33.45418    15.91400     0.00015     0.00017    15.91432
   -33.37718    15.91400     0.00013     0.00017    15.91431
   -33.29918    15.91400    -0.00130     0.00017    15.91288
   -33.22218    15.91400    -0.03975     0.00017    15.87442
   -33.14518    15.91400    -0.29449     0.00016    15.61968
   -33.06718    15.91400     0.10014     0.00016    16.01430
   -32.99018    15.91404     5.63521     0.00026    21.54951
   -32.91318    15.91419    17.19175     0.00058    33.10653
   -32.83518    15.91447    26.87697     0.00110    42.79254
   -32.75818    15.91481    31.45534     0.00169    47.37183
   -32.68118    15.91514    34.79761     0.00229    50.71503
   -32.60318    15.91542    39.20147     0.00280    55.11969
